cod_secao#nm_secao#cod_divisao#nm_divisao#cod_grupo#nm_grupo#cod_classe#nm_classe#cod_cnae#nm_cnae
A#AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA#01#AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS#01.1#Produção de lavouras temporárias#01.11-3#Cultivo de cereais#0111301#Cultivo de arroz
A#AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA#01#AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS#01.1#Produção de lavouras temporárias#01.11-3#Cultivo de cereais#0111302#Cultivo de milho
A#AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA#01#AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS#01.1#Produção de lavouras temporárias#01.11-3#Cultivo de cereais#0111303#Cultivo de trigo
A#AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA#01#AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS#01.1#Produção de lavouras temporárias#01.11-3#Cultivo de cereais#0111399#Cultivo de outros cereais não especificados anteriormente
A#AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA#01#AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS#01.1#Produção de lavouras temporárias#01.12-1#Cultivo de algodão herbáceo e de outras fibras de lavoura temporária#0112101#Cultivo de algodão herbáceo
A#AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA#01#AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS#01.1#Produção de lavouras temporárias#01.12-1#Cultivo de algodão herbáceo e de outras fibras de lavoura temporária#0112102#Cultivo de juta
A#AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA#01#AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS#01.1#Produção de lavouras temporárias#01.12-1#Cultivo de algodão herbáceo e de outras fibras de lavoura temporária#0112199#Cultivo de outras fibras de lavoura temporária não especificadas anteriormente
A#AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA#01#AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS#01.1#Produção de lavouras temporárias#01.13-0#Cultivo de cana-de-açúcar#0113000#Cultivo de cana-de-açúcar
A#AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA#01#AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS#01.1#Produção de lavouras temporárias#01.14-8#Cultivo de fumo#0114800#Cultivo de fumo
A#AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA#01#AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS#01.1#Produção de lavouras temporárias#01.15-6#Cultivo de soja#0115600#Cultivo de soja
